,Total Household Income,Region,Total Food Expenditure,Main Source of Income,Agricultural Household indicator,Bread and Cereals Expenditure,Total Rice Expenditure,Meat Expenditure,Total Fish and  marine products Expenditure,Fruit Expenditure,Vegetables Expenditure,Restaurant and hotels Expenditure,Alcoholic Beverages Expenditure,Tobacco Expenditure,"Clothing, Footwear and Other Wear Expenditure",Housing and water Expenditure,Imputed House Rental Value,Medical Care Expenditure,Transportation Expenditure,Communication Expenditure,Education Expenditure,Miscellaneous Goods and Services Expenditure,Special Occasions Expenditure,Crop Farming and Gardening expenses,Total Income from Entrepreneurial Acitivites,Household Head Sex,Household Head Age,Household Head Marital Status,Household Head Highest Grade Completed,Household Head Job or Business Indicator,Household Head Occupation,Household Head Class of Worker,Type of Household,Total Number of Family members,Members with age less than 5 year old,Members with age 5 - 17 years old,Total number of family members employed,Type of Building/House,Type of Roof,Type of Walls,House Floor Area,House Age,Number of bedrooms,Tenure Status,Toilet Facilities,Electricity,Main Source of Water Supply,Number of Television,Number of CD/VCD/DVD,Number of Component/Stereo set,Number of Refrigerator/Freezer,Number of Washing Machine,Number of Airconditioner,"Number of Car, Jeep, Van",Number of Landline/wireless telephones,Number of Cellular phone,Number of Personal Computer,Number of Stove with Oven/Gas Range,Number of Motorized Banca,Number of Motorcycle/Tricycle
30334,379478,IVA - CALABARZON,126245,Wage/Salaries,0,28282,14352,24834,10399,3580,8388,38140,24705,24490,3615,63756,36000,4628,24720,21486,0,33666,6000,0,0,Male,60,Married,High School Graduate,With Job/Business,"Car, taxi and van drivers",Worked for private establishment,Single Family,4,0,0,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,80,33,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,1,1,0,0,4,1,0,0,0
20741,234685,NCR,91661,Wage/Salaries,0,14774,9128,12718,8150,1465,3065,11421,0,0,2800,48120,0,3345,13224,5070,0,13698,0,0,0,Male,38,Married,Business and Administration Programs,With Job/Business,Other office clerks,Worked for private establishment,Single Family,1,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,15,35,2,Rent house/room including lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, faucet, community water system",1,0,0,0,0,0,0,0,1,0,0,0,0
29214,105530,IVA - CALABARZON,50233,Enterpreneurial Activities,1,15656,13280,6139,4720,1710,2170,9000,0,1040,1865,24522,18000,710,11460,690,400,5292,1000,24860,65860,Male,29,Married,High School Graduate,With Job/Business,Coconut farmers,Self-employed wihout any employee,Single Family,5,1,2,0,Single house,"Light material (cogon,nipa,anahaw)",Light,15,14,0,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",0,"Own use, tubed/piped deep well",0,0,0,0,0,0,0,0,1,0,0,0,0
36634,97694,IX - Zasmboanga Peninsula,23238,Wage/Salaries,2,9741,0,2452,4534,226,1468,0,520,210,1699,8742,4200,264,4920,360,0,3648,0,0,0,Male,25,Married,Elementary Graduate,With Job/Business,Farmhands and laborers,Worked for private establishment,Single Family,3,1,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,17,5,2,"Own house, rent lot",Closed pit,1,"Shared, tubed/piped deep well",0,0,0,0,0,0,0,0,1,0,0,0,0
28666,197120,I - Ilocos Region,94418,Wage/Salaries,0,23854,17094,10045,4135,3248,3175,19610,540,3120,6815,20304,0,6341,34680,2202,2350,13410,2900,0,0,Male,44,Married,High School Graduate,With Job/Business,"Car, taxi and van drivers",Worked for private establishment,Single Family,5,2,1,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,20,10,0,Rent house/room including lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",1,1,0,0,0,0,0,0,2,0,0,0,0
14025,391794,VI - Western Visayas,116036,Wage/Salaries,0,32095,21651,24632,10704,2580,6753,15550,4656,1448,2820,52800,30000,4889,31320,3600,15500,19542,7000,43299,43299,Male,69,Widowed,Elementary Graduate,With Job/Business,Rice farmers,Employer in own family-operated farm or business,Extended Family,5,0,2,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,60,55,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,Dug well,2,1,0,1,1,0,0,0,2,1,0,0,2
21220,126047,V - Bicol Region,74629,Enterpreneurial Activities,1,43640,37600,4101,8268,2820,6495,475,1105,2144,2473,18960,14400,985,3876,336,1160,3906,2000,52800,69070,Male,28,Married,First Year High School,With Job/Business,Rice farmers,Self-employed wihout any employee,Single Family,6,2,2,1,Single house,Mixed but predominantly strong materials,Strong,29,15,2,"Own house, rent-free lot with consent of owner",None,0,Dug well,0,0,0,0,0,0,0,0,1,0,0,0,0
32264,61148,XII - SOCCSKSARGEN,53129,Wage/Salaries,1,22858,19760,1755,11886,1635,3595,1733,1870,0,1803,7980,2400,360,2400,906,350,1626,300,9265,9265,Female,38,Divorced/Separated,No Grade Completed,With Job/Business,Vegetable farmers,Self-employed wihout any employee,Single Family,2,0,1,0,Single house,Mixed but predominantly light materials,Salvaged,20,13,2,Own or owner-like possession of house and lot,Open pit,0,"Lake, river, rain and others",0,0,0,0,0,0,0,0,1,0,0,0,0
3982,84486,CAR,46006,Enterpreneurial Activities,0,20979,13350,8988,4536,700,3510,200,1170,3120,2150,10698,0,4696,3180,1560,100,7620,1000,0,83936,Male,56,Married,Third Year College,With Job/Business,"General managers/managing proprietors in transportation, storage and communications",Self-employed wihout any employee,Single Family,2,0,1,0,Multi-unit residential,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,35,55,1,Rent house/room including lot,"Water-sealed, other depository, shared with other household",1,"Protected spring, river, stream, etc",1,1,0,0,0,0,0,0,1,0,0,0,0
38118,494970,NCR,116622,Wage/Salaries,2,21415,15298,28847,11494,5560,4764,19266,1134,3982,9250,42300,27000,6361,36678,13320,2680,32526,9000,0,9584,Male,52,Married,High School Graduate,With Job/Business,Welders and flamecutters,Worked for private establishment,Single Family,4,0,1,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,15,5,1,"Own house, rent-free lot without consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,1,0,0,0,2,2,0,0,0
22553,135324,CAR,26693,Other sources of Income,0,12629,12307,2920,2854,1985,2030,350,380,0,2400,13338,6000,0,1920,552,0,1242,36500,14000,25500,Female,77,Widowed,No Grade Completed,With Job/Business,Rice farmers,Self-employed wihout any employee,Single Family,2,0,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,160,15,3,Own or owner-like possession of house and lot,Open pit,1,"Protected spring, river, stream, etc",0,0,0,0,0,0,0,0,2,0,0,0,0
39370,1473966,NCR,172637,Other sources of Income,2,19486,11844,20454,6612,4464,5855,44365,416,720,43796,402612,300000,49465,80454,31788,107710,29910,4139,0,200109,Male,30,Single,Post Baccalaureate,With Job/Business,"Other supervisors, n. e. c.",Worked for private establishment,Single Family,4,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,80,6,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",2,0,0,1,1,2,1,1,2,1,1,0,0
19513,255446,VIII - Eastern Visayas,80623,Wage/Salaries,0,38312,32688,10291,5143,604,4316,6300,0,0,1025,39876,4800,998,19470,2154,3300,5436,360,0,0,Female,58,Widowed,Second Year College,No Job/Business,,,Extended Family,7,1,0,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,32,1,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, faucet, community water system",1,0,0,0,0,0,0,0,5,0,0,0,4
6708,162625,II - Cagayan Valley,30325,Wage/Salaries,1,10164,3310,7390,5156,900,1193,0,390,7240,1115,47550,42000,352,2160,0,0,1158,0,0,0,Male,52,Married,Grade 2,With Job/Business,Farmhands and laborers,Worked for private establishment,Single Family,2,0,0,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,80,20,3,Rent-free house and lot with consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",1,0,0,0,0,0,0,0,0,0,0,0,0
20216,61720, ARMM,30866,Enterpreneurial Activities,1,13366,11674,705,9127,413,1938,1200,0,1086,260,7998,4800,0,1560,600,0,2052,0,0,54440,Male,18,Married,Elementary Graduate,With Job/Business,Inland and coastal waters fishermen,Self-employed wihout any employee,Single Family,2,0,1,0,Single house,"Light material (cogon,nipa,anahaw)",Light,30,0,1,"Own house, rent-free lot without consent of owner",Open pit,0,Dug well,0,0,0,0,0,0,0,0,0,0,0,0,0
39174,800750,NCR,104016,Wage/Salaries,2,20757,15430,17479,6708,3705,4200,25808,0,3732,13399,146850,90000,597,98298,16200,1549,26826,1500,0,0,Male,35,Married,Security Services Programs,With Job/Business,Insurance representatives,Worked for private establishment,Single Family,5,0,3,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,35,45,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",2,1,0,1,1,1,1,0,2,1,1,0,0
39208,349944,NCR,62633,Wage/Salaries,2,18335,14255,12657,4133,1945,3556,9100,450,1629,3595,42864,12000,95,1656,8082,0,25218,0,0,0,Male,34,Married,High School Graduate,With Job/Business,Stocks clerks,Worked for private establishment,Single Family,2,0,0,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,15,15,0,Rent house/room including lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,0,0,0,0,0,2,0,0,0,0
19275,290598,VIII - Eastern Visayas,90731,Other sources of Income,0,25968,10060,25333,13006,2660,5782,2240,0,0,5290,63150,36000,320,4398,4260,0,5178,12500,0,108398,Female,58,Widowed,Second Year College,With Job/Business,General managers/managing proprietors of restaurants and hotels,Self-employed wihout any employee,Single Family,2,0,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,120,7,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, tubed/piped deep well",1,3,0,2,0,1,0,0,4,3,1,0,0
19390,150569,VIII - Eastern Visayas,92642,Other sources of Income,1,33454,26520,13288,17210,1968,5372,4733,555,0,420,34932,9000,951,5766,0,435,4374,11300,54168,74016,Male,59,Married,Elementary Graduate,With Job/Business,Rice farmers,Self-employed wihout any employee,Extended Family,4,0,2,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,18,1,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,0,0,0,0,0,0,0,0,0,0
37390,984515,NCR,176645,Enterpreneurial Activities,2,25853,21136,3028,0,4675,0,128063,0,0,3049,73560,33000,3127,15288,6360,25760,14250,4500,0,918765,Male,50,Married,High School Graduate,With Job/Business,Shop salespersons and demonstrators,Worked without pay in own family-operated farm or business,Single Family,6,0,1,0,Single house,Mixed but predominantly strong materials,Quite Strong,75,29,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",2,1,1,1,1,0,0,0,5,0,0,0,1
19088,80545,VIII - Eastern Visayas,49995,Enterpreneurial Activities,0,25996,24264,2136,5606,1080,4584,3500,360,0,2045,6846,3000,35,2802,0,2040,4710,0,6650,43733,Male,54,Married,High School Graduate,With Job/Business,"General managers/managing proprietors in transportation, storage and communications",Self-employed wihout any employee,Single Family,5,0,3,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Light,20,0,2,Own or owner-like possession of house and lot,None,0,"Protected spring, river, stream, etc",0,0,0,0,0,0,0,0,0,0,0,0,0
12048,125617,XI - Davao Region,76493,Wage/Salaries,0,13270,8736,6878,17098,1899,4830,12565,3420,10860,360,12966,8400,2490,8382,2082,0,5142,0,0,0,Male,23,Single,Grade 5,With Job/Business,Varnishers and related painters,Worked for private establishment,Single Family,3,0,1,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Light,60,10,2,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, shared with other household",1,"Shared, faucet, community water system",0,0,0,0,0,0,0,0,1,0,0,0,0
35202,87009,IX - Zasmboanga Peninsula,26525,Other sources of Income,0,10702,0,959,1648,3704,5230,3250,0,0,1900,10290,7200,305,5382,780,15210,4464,1000,0,0,Female,57,Widowed,Elementary Graduate,With Job/Business,Farmhands and laborers,Worked for private establishment,Extended Family,4,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,29,30,3,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,0,0,0,0,0,2,0,0,0,0
29869,358332,II - Cagayan Valley,157689,Enterpreneurial Activities,1,56809,34988,28498,15580,8295,15320,0,7020,780,4865,26526,9000,5550,9780,480,2520,9780,8700,224851,313151,Male,53,Married,Elementary Graduate,With Job/Business,Corn farmers,Employer in own family-operated farm or business,Extended Family,9,1,3,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,40,17,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, tubed/piped deep well",1,0,0,0,0,0,0,0,3,0,0,0,2
12976,558589,VIII - Eastern Visayas,139306,Wage/Salaries,0,21777,11000,20219,36328,6130,10740,10400,0,0,30272,94944,72000,9752,21006,9120,14197,28776,10200,0,0,Male,39,Married,Post Baccalaureate,With Job/Business,"College, university and higher education teaching professionals",Worked for government/government corporation,Extended Family,6,0,2,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,180,35,4,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,2,0,0,1,0,0,0,6,3,1,0,1
9748,142780,VII - Central Visayas,114222,Wage/Salaries,0,28752,23140,23574,16664,5514,4409,19060,420,0,2805,26430,13200,15350,11940,2112,1550,13764,7200,0,0,Male,38,Married,Computing/Information Technology Programs,With Job/Business,Protective services workers n. e. c.,Worked for private establishment,Single Family,6,2,2,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,15,4,1,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,0,0,0,0,2,0,0,0,1
31001,78899,VIII - Eastern Visayas,60146,Wage/Salaries,0,37511,31945,3296,5654,765,2250,1220,886,3770,9858,6594,2400,2636,1542,198,225,5916,0,0,0,Male,30,Married,Grade 4,With Job/Business,Farmhands and laborers,Worked for private establishment,Single Family,5,1,2,3,Single house,"Light material (cogon,nipa,anahaw)",Light,18,2,0,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, shared with other household",1,"Shared, faucet, community water system",0,0,0,0,0,0,0,0,1,0,0,0,0
21404,943608,V - Bicol Region,97621,Wage/Salaries,0,23410,14802,17571,10694,4960,7675,16700,315,0,12888,74406,42000,3226,163854,4800,0,62406,70000,0,82928,Male,50,Married,Security Services Programs,With Job/Business,Prison guards,Worked for government/government corporation,Single Family,2,0,0,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,42,15,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,1,1,1,1,0,0,2,0,1,0,1
5897,121250,III - Central Luzon,48837,Wage/Salaries,0,17695,13299,3716,3624,3705,2552,4120,7960,1086,3450,33300,12000,6276,2700,3108,0,7464,5000,0,22800,Male,55,Married,High School Graduate,With Job/Business,"Car, taxi and van drivers",Worked for private establishment,Single Family,2,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,30,21,1,"Own house, rent-free lot with consent of owner","Water-sealed, other depository, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,1,0,0,0,2,0,1,0,1
38957,117277,NCR,47145,Enterpreneurial Activities,2,11291,8450,4708,5512,1870,3004,11590,0,453,930,25458,18000,980,3942,1482,150,5832,0,0,90602,Female,46,Divorced/Separated,Second Year High School,With Job/Business,Street ambulant vendors,Self-employed wihout any employee,Single Family,2,0,1,0,Single house,Mixed but predominantly strong materials,Quite Strong,15,21,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,0,0,0,0,0,2,0,0,0,0
22685,1132498,VI - Western Visayas,210968,Other sources of Income,0,33400,24600,41884,25419,18440,7680,23300,0,0,11340,139656,51000,76155,15000,43374,16000,87126,55000,0,73438,Male,59,Married,Transport Services Programs,With Job/Business,"College, university and higher education teaching professionals",Worked for private establishment,Extended Family,4,0,0,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,320,31,4,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",4,2,2,4,1,3,1,1,5,2,2,0,0
40853,127394,XI - Davao Region,67178,Enterpreneurial Activities,1,20603,0,7210,14660,2340,6509,8930,2460,884,5180,13560,7200,650,4824,360,4200,7176,16000,90683,92714,Male,48,Married,Grade 3,With Job/Business,Corn farmers,Self-employed wihout any employee,Single Family,3,0,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,15,5,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,Tubed/piped shallow well,1,1,0,0,0,0,0,0,1,0,0,0,1
2422,1230785,III - Central Luzon,250166,Enterpreneurial Activities,0,41172,33250,42440,36974,16022,6116,70320,16770,33666,24580,89280,33000,6861,45864,22680,28516,56214,20360,349235,850745,Male,69,Married,Grade 1,With Job/Business,"General managers/managing proprietors in agriculture, hunting, forestry and fishing",Self-employed wihout any employee,Extended Family,10,0,4,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,100,40,4,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, tubed/piped deep well",4,0,0,2,1,1,0,0,8,5,1,0,2
21575,57476,X - Northern Mindanao,26099,Other sources of Income,1,11842,8184,1665,4313,822,2068,1010,1345,208,945,10380,7200,760,660,0,940,1956,0,0,12470,Male,55,Married,Elementary Graduate,With Job/Business,Inland and coastal waters fishermen,Self-employed wihout any employee,Extended Family,4,0,2,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Light,22,13,1,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,Dug well,1,0,0,0,0,0,0,0,0,0,0,0,0
34979,190873, ARMM,75680,Enterpreneurial Activities,1,17722,12822,2675,19486,4435,11990,0,0,4525,1543,8700,6300,149,2460,768,500,6558,0,97510,151560,Male,48,Married,Elementary Graduate,With Job/Business,Seaweeds cultivators,Self-employed wihout any employee,Single Family,9,2,3,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,26,16,2,"Own house, rent-free lot without consent of owner",Others,0,Dug well,0,0,0,0,0,0,0,0,1,0,0,1,0
23196,117321,VI - Western Visayas,74790,Wage/Salaries,1,34451,31900,9436,12699,1095,3630,2360,1170,0,2846,14580,4800,1806,4464,624,4866,4344,3000,0,0,Male,45,Married,Grade 5,With Job/Business,Fishery laborers and helpers,Worked for private establishment,Single Family,9,1,4,2,Single house,"Light material (cogon,nipa,anahaw)",Light,13,5,2,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",0,Dug well,0,0,0,0,0,0,0,0,2,0,0,0,0
33216,120150, ARMM,83534,Enterpreneurial Activities,1,29441,17186,1645,29464,2450,5699,0,0,2590,2345,16500,10800,616,2910,0,2300,4158,0,0,107080,Male,46,Married,No Grade Completed,With Job/Business,Deep-sea fishermen,Self-employed wihout any employee,Single Family,10,2,6,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Light,35,60,2,Own or owner-like possession of house and lot,Closed pit,0,Dug well,0,0,0,0,0,0,0,0,0,0,0,0,0
19843,44684, ARMM,20658,Enterpreneurial Activities,0,8853,7452,1510,3756,865,2185,570,539,260,1530,9258,6000,376,1896,432,0,2364,0,0,33010,Male,66,Married,Grade 3,With Job/Business,"General managers/managing proprietors in transportation, storage and communications",Self-employed wihout any employee,Extended Family,4,1,1,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,16,14,1,"Own house, rent lot",Closed pit,1,"Protected spring, river, stream, etc",1,0,0,0,0,0,0,0,1,0,0,0,0
31622,76613,XII - SOCCSKSARGEN,52164,Wage/Salaries,1,28600,26180,1950,6538,695,1222,9700,47,2642,100,6618,3000,14000,660,120,1130,1986,0,0,0,Male,49,Married,High School Graduate,With Job/Business,Farmhands and laborers,Worked for private establishment,Single Family,5,0,2,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,11,13,3,"Own house, rent-free lot without consent of owner",Closed pit,1,"Shared, tubed/piped deep well",0,0,0,0,0,0,0,0,0,0,0,0,0
37964,206764,NCR,58731,Wage/Salaries,2,8086,4976,3597,3485,1220,1500,31485,910,1810,5770,18000,13200,2931,9606,3900,0,11460,450,0,0,Male,22,Married,Third Year High School,With Job/Business,"Waiters, waitresses and bartenders",Worked for private establishment,Single Family,3,1,0,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,20,4,0,Rent-free house and lot with consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",0,0,0,0,0,0,0,0,1,0,0,0,0
3685,288490,CAR,158844,Wage/Salaries,0,13747,9438,22702,2873,3495,5400,31580,840,2096,480,66090,45000,80,36168,3948,16320,27138,3600,8100,32100,Male,60,Married,Third Year College,With Job/Business,"Helpers and cleaners in offices, hotels and other establishments",Worked for government/government corporation,Extended Family,8,0,3,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,100,65,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, faucet, community water system",1,1,0,1,1,0,0,0,4,0,0,0,0
22132,122100,X - Northern Mindanao,44259,Wage/Salaries,0,15262,12662,7248,6041,970,1135,4940,0,1820,885,16806,7800,1143,6900,4212,0,2700,7300,0,7700,Male,64,Married,Third Year High School,No Job/Business,,,Single Family,4,0,0,2,Single house,"Light material (cogon,nipa,anahaw)",Light,20,4,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,0,0,0,0,0,3,0,0,0,0
27358,120000,III - Central Luzon,62414,Other sources of Income,0,12521,9520,7918,3964,3985,1462,9950,0,0,4500,45138,30000,24140,5916,10398,0,17556,0,0,0,Female,30,Married,Second Year College,No Job/Business,,,Single Family,3,2,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,29,24,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,1,1,0,0,1,0,0,0,1
38940,295538,NCR,87552,Wage/Salaries,2,21035,12350,17608,6944,1813,5577,23060,4393,5534,4410,28770,0,1655,13764,1938,1000,24186,10000,0,0,Male,27,Married,High School Graduate,With Job/Business,Shop salespersons and demonstrators,Worked for private establishment,Single Family,2,0,0,2,Multi-unit residential,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,20,10,0,Rent house/room including lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",0,0,0,0,0,0,0,0,2,0,0,0,0
8452,163791,IVA - CALABARZON,83227,Wage/Salaries,0,16477,12948,3997,4064,1509,2560,41750,690,3620,2215,28692,0,104,21060,2184,830,7926,0,0,17406,Male,40,Married,High School Graduate,With Job/Business,"Helpers and cleaners in offices, hotels and other establishments",Worked for private establishment,Single Family,3,0,1,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,15,21,0,Rent house/room including lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",1,1,0,1,1,0,0,0,2,0,0,0,0
37401,619710,NCR,138178,Wage/Salaries,2,35849,24978,27835,7881,1815,5396,42920,840,18100,7530,152520,138000,1665,43092,2334,0,19806,4800,0,0,Female,60,Widowed,Grade 5,No Job/Business,,,Extended Family,6,1,0,4,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,48,30,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,0,0,0,0,0,1,0,0,0,0
7494,108844,V - Bicol Region,77429,Enterpreneurial Activities,1,35891,30085,5165,14431,1811,7663,0,0,4178,935,14160,6000,2040,2520,216,0,4764,6100,67599,67599,Male,60,Married,Elementary Graduate,With Job/Business,Rice farmers,Self-employed wihout any employee,Extended Family,5,1,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,56,11,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",1,1,0,0,0,0,0,0,1,0,0,0,0
27750,1463220,III - Central Luzon,131446,Enterpreneurial Activities,0,27169,21960,27712,10282,1415,4592,35750,95,16290,10179,117570,72000,6295,29064,25302,33900,23034,13000,0,1221120,Male,49,Married,Business and Administration Programs,With Job/Business,Market and sidewalk stall vendors,Employer in own family-operated farm or business,Extended Family,8,1,2,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,180,17,7,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",3,1,1,1,1,3,2,1,5,4,1,0,0
15611,146787,II - Cagayan Valley,75493,Other sources of Income,0,15229,5928,13716,5334,598,4050,26503,0,0,3120,23580,10800,250,12672,1398,2590,7008,3000,0,25452,Female,19,Single,Second Year College,No Job/Business,,,Extended Family,4,0,3,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Quite Strong,40,4,2,Own or owner-like possession of house and lot,"Water-sealed, other depository, used exclusively by household",1,"Shared, tubed/piped deep well",1,0,0,0,0,0,0,0,3,2,0,0,0
27623,180222,III - Central Luzon,95698,Wage/Salaries,1,30817,27692,16334,10263,840,4304,13680,1380,11584,2200,10122,4200,265,6276,1584,500,10218,3000,0,62222,Male,58,Married,Grade 2,With Job/Business,Fishery laborers and helpers,Worked for private establishment,Extended Family,12,1,5,3,Duplex,Salvaged/makeshift materials,Salvaged,60,14,0,"Own house, rent-free lot without consent of owner","Water-sealed, sewer septic tank, shared with other household",0,"Shared, faucet, community water system",0,0,0,0,0,0,0,0,1,0,0,0,0
